Anton Paar Monowave Series;;;;;;;;
Serial Number: 82701239;;;;;;;;
Instrument Software Version: 4.10.10607.14;;;;;;;;
;;;;;;;;
Processing Protocol;;;;;;;;
Experiment Name;vb-8min;;;;;;;
Experiment Date;10/20/2022 11:10:11 AM;;;;;;;
Experiment Unique ID;982;;;;;;;
User;Administrator;;;;;;;
Temperature Control;IR;;;;;;;
Vial Type;Glass vial G30;;;;;;;
;;;;;;;;
Steps;;;;;;;;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed;;
;;C;hh:mm:ss;W;;rpm;;
1;Heat to temperature in time;60;00:01:30;850;Off;800;;
2;Hold;-;00:06:30;850;Off;800;;
3;Cool down;60;-;-;On;800;;
;;;;;;;;
Experiment Result;;;;;;;;
Result;OK;;;;;;;
;;;;;;;;
;;;;;;;;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:05:22;00:03:51;60;31;0.0;0;800;Off;2
00:05:23;00:03:52;60;31;0.0;0;800;Off;2
00:05:24;00:03:53;60;31;0.0;0;800;Off;2
00:05:25;00:03:54;60;31;0.0;0;800;Off;2
00:05:26;00:03:55;60;31;0.0;0;800;Off;2
00:05:27;00:03:56;60;31;0.0;0;800;Off;2
00:05:28;00:03:57;60;31;0.0;0;800;Off;2
00:05:29;00:03:58;60;31;0.0;0;800;Off;2
00:05:30;00:03:59;59;31;0.0;1;800;Off;2
00:05:31;00:04:00;60;31;0.0;1;800;Off;2
00:05:32;00:04:01;60;31;0.0;1;800;Off;2
00:05:33;00:04:02;60;31;0.0;2;800;Off;2
00:05:34;00:04:03;59;31;0.0;1;800;Off;2
00:05:35;00:04:04;60;31;0.0;2;800;Off;2
00:05:36;00:04:05;59;31;0.0;3;800;Off;2
00:05:37;00:04:06;59;31;0.0;3;800;Off;2
00:05:38;00:04:07;59;31;0.0;3;800;Off;2
00:05:39;00:04:08;59;31;0.0;3;800;Off;2
00:05:40;00:04:09;59;31;0.0;4;800;Off;2
00:05:41;00:04:10;59;31;0.0;4;800;Off;2
00:05:42;00:04:11;59;31;0.0;4;800;Off;2
00:05:43;00:04:12;59;31;0.0;6;800;Off;2
00:05:44;00:04:13;59;31;0.0;6;800;Off;2
00:05:45;00:04:14;59;31;0.0;7;800;Off;2
00:05:46;00:04:15;58;31;0.0;9;800;Off;2
00:05:47;00:04:16;59;31;0.0;9;800;Off;2
00:05:48;00:04:17;59;31;0.0;8;800;Off;2
00:05:49;00:04:18;59;31;0.0;8;800;Off;2
00:05:50;00:04:19;59;31;0.0;8;800;Off;2
00:05:51;00:04:20;60;31;0.0;7;800;Off;2
00:05:52;00:04:21;60;31;0.0;6;800;Off;2
00:05:53;00:04:22;60;31;0.0;5;800;Off;2
00:05:54;00:04:23;60;31;0.0;4;800;Off;2
00:05:55;00:04:24;60;31;0.0;6;800;Off;2
00:05:56;00:04:25;60;31;0.0;4;800;Off;2
00:05:57;00:04:26;60;31;0.0;3;800;Off;2
00:05:58;00:04:27;61;31;0.0;2;800;Off;2
00:05:59;00:04:28;60;31;0.0;2;800;Off;2
00:06:00;00:04:29;60;31;0.0;2;800;Off;2
00:06:01;00:04:30;61;31;0.0;2;800;Off;2
00:06:02;00:04:31;61;31;0.0;1;800;Off;2
00:06:03;00:04:32;61;31;0.0;1;800;Off;2
00:06:04;00:04:33;61;31;0.0;0;800;Off;2
00:06:05;00:04:34;61;31;0.0;0;800;Off;2
00:06:06;00:04:35;61;31;0.0;0;800;Off;2
00:06:07;00:04:36;61;31;0.0;0;800;Off;2
00:06:08;00:04:37;61;31;0.0;0;800;Off;2
00:06:09;00:04:38;61;31;0.0;0;800;Off;2
00:06:10;00:04:39;60;31;0.0;0;800;Off;2
00:06:11;00:04:40;60;31;0.0;0;800;Off;2
00:06:12;00:04:41;61;31;0.0;0;800;Off;2
00:06:13;00:04:42;61;31;0.0;0;800;Off;2
00:06:14;00:04:43;60;31;0.0;0;800;Off;2
00:06:15;00:04:44;60;31;0.0;0;800;Off;2
00:06:16;00:04:45;60;31;0.0;0;800;Off;2
00:06:17;00:04:46;61;31;0.0;0;800;Off;2
00:06:18;00:04:47;61;31;0.0;0;800;Off;2
00:06:19;00:04:48;61;31;0.0;0;800;Off;2
00:06:20;00:04:49;61;31;0.0;0;800;Off;2
00:06:21;00:04:50;60;31;0.0;0;800;Off;2
00:06:22;00:04:51;60;31;0.0;0;800;Off;2
00:06:23;00:04:52;61;31;0.0;0;800;Off;2
00:06:24;00:04:53;60;31;0.0;0;800;Off;2
00:06:25;00:04:54;60;31;0.0;0;800;Off;2
00:06:26;00:04:55;60;31;0.0;0;800;Off;2
00:06:27;00:04:56;60;31;0.0;0;800;Off;2
00:06:28;00:04:57;60;31;0.0;0;800;Off;2
00:06:29;00:04:58;60;31;0.0;0;800;Off;2
00:06:30;00:04:59;60;31;0.0;0;800;Off;2
