,t,Q,TG,DG,MG,G,ME
174,174.0,6.0,0.047793787,0.058189105,0.04980126,0.5195048,1.6580101
175,175.0,6.0,0.04760921,0.057975736,0.04960542,0.52013487,1.6592442
176,176.0,6.0,0.047427483,0.05776495,0.049411632,0.52075624,1.6604602
177,177.0,6.0,0.047248468,0.057556827,0.04921987,0.52136934,1.6616585
178,178.0,6.0,0.04707216,0.05735113,0.049029984,0.5219744,1.66284
179,179.0,6.0,0.04689848,0.057147887,0.048842102,0.5225716,1.6640047
180,180.0,6.0,0.046727363,0.056947153,0.04865611,0.5231611,1.6651536
181,181.0,6.0,0.046558872,0.056748744,0.048471913,0.5237434,1.6662872
182,182.0,6.0,0.046392784,0.056552704,0.048289567,0.52431846,1.6674054
183,183.0,6.0,0.04622926,0.05635902,0.048109,0.5248865,1.6685086
184,184.0,6.0,0.04606802,0.0561676,0.047930196,0.52544785,1.6695982
185,185.0,6.0,0.045909185,0.05597846,0.047753155,0.5260026,1.6706737
186,186.0,6.0,0.045752667,0.055791553,0.0475778,0.5265511,1.6717361
187,187.0,6.0,0.045598447,0.055606935,0.047404222,0.5270933,1.6727853
188,188.0,6.0,0.04544644,0.055424485,0.0472323,0.52762955,1.6738223
189,189.0,6.0,0.045296635,0.05524422,0.047062054,0.52815986,1.6748468
190,190.0,6.0,0.04514903,0.055066142,0.04689347,0.5286847,1.6758593
191,191.0,6.0,0.045003545,0.054890234,0.0467266,0.529204,1.6768607
192,192.0,6.0,0.044860207,0.054716546,0.04656139,0.52971786,1.6778508
193,193.0,6.0,0.044718888,0.054544922,0.04639777,0.5302266,1.6788303
194,194.0,6.0,0.044579607,0.054375414,0.04623581,0.5307305,1.6797994
195,195.0,6.0,0.044442326,0.054208096,0.04607559,0.53122926,1.6807582
196,196.0,6.0,0.04430704,0.05404285,0.045916967,0.53172356,1.681708
197,197.0,6.0,0.044173706,0.053879697,0.045759983,0.5322131,1.6826473
198,198.0,6.0,0.044042215,0.053718608,0.045604635,0.5326982,1.6835779
199,199.0,6.0,0.04391264,0.05355968,0.045451,0.533179,1.6844999
200,200.0,6.0,0.043784898,0.053402726,0.045299016,0.5336556,1.6854125
201,201.0,6.0,0.043658964,0.053247917,0.045148708,0.53412807,1.6863176
202,202.0,6.0,0.04353477,0.053095084,0.04500007,0.5345967,1.6872138
203,203.0,6.0,0.043412436,0.05294441,0.044853188,0.5350611,1.6881025
204,204.0,6.0,0.04329174,0.052795667,0.04470796,0.535522,1.6889831
205,205.0,6.0,0.043172784,0.05264901,0.044564478,0.53597915,1.6898565
206,206.0,6.0,0.043055467,0.052504394,0.04442273,0.53643274,1.6907226
207,207.0,6.0,0.042939767,0.052361738,0.044282705,0.5368828,1.6915818
208,208.0,6.0,0.0428257,0.05222111,0.044144455,0.53732955,1.6924338
209,209.0,6.0,0.042713225,0.05208252,0.044007994,0.5377729,1.6932791
210,210.0,6.0,0.042602293,0.051945854,0.04387329,0.5382129,1.6941179
211,211.0,6.0,0.04249286,0.051811207,0.043740474,0.5386499,1.6949502
212,212.0,6.0,0.0423849,0.05167852,0.043609444,0.53908354,1.6957763
213,213.0,6.0,0.042278446,0.051547725,0.04348021,0.5395143,1.696596
214,214.0,6.0,0.042173456,0.05141894,0.04335294,0.53994185,1.6974096
215,215.0,6.0,0.042069845,0.051292095,0.043227494,0.54036665,1.6982175
216,216.0,6.0,0.04196758,0.051167134,0.043103956,0.5407884,1.6990194
217,217.0,6.0,0.041866705,0.05104408,0.042982414,0.5412072,1.6998154
218,218.0,6.0,0.04176715,0.050922986,0.042862788,0.5416234,1.700606
219,219.0,6.0,0.041668907,0.05080371,0.042745136,0.54203653,1.7013907
220,220.0,6.0,0.041571967,0.050686304,0.042629417,0.5424471,1.7021695
221,221.0,6.0,0.041476227,0.050570752,0.042515807,0.5428548,1.7029432
222,222.0,6.0,0.04138176,0.05045711,0.042404186,0.54325974,1.7037112
223,223.0,6.0,0.04128848,0.050345268,0.04229469,0.54366195,1.7044739
224,224.0,6.0,0.0411964,0.0502352,0.042187184,0.5440615,1.7052308
225,225.0,6.0,0.041105445,0.050126974,0.04208183,0.5444584,1.7059826
226,226.0,6.0,0.041015625,0.050020542,0.0419786,0.5448526,1.7067288
227,227.0,6.0,0.040926903,0.049915854,0.04187749,0.54524416,1.7074697
228,228.0,6.0,0.040839262,0.049812917,0.041778557,0.5456331,1.7082051
229,229.0,6.0,0.040752716,0.049711753,0.041681807,0.5460193,1.7089351
230,230.0,6.0,0.040667206,0.049612273,0.04158728,0.5464028,1.7096597
231,231.0,6.0,0.0405827,0.04951453,0.041494988,0.5467837,1.710379
232,232.0,6.0,0.04049924,0.049418513,0.041404933,0.5471619,1.7110926
233,233.0,6.0,0.040416744,0.04932412,0.041317128,0.5475374,1.7118007
