Time	Value				
2,058333333	829				
2,06	854				
2,061666667	897				
2,063333333	939				
2,065	997				
2,066666667	1045				
2,068333333	1068				
2,07	1033				
2,071666667	994				
2,073333333	1057				
2,075	1162				
2,076666667	1213				
2,078333333	1265				
2,08	1327				
2,081666667	1412				
2,083333333	1471				
2,085	1526				
2,086666667	1536				
2,088333333	1506				
2,09	1457				
2,091666667	1374				
2,093333333	1302				
2,095	1220				
2,096666667	1166				
2,098333333	1131				
2,1	1086				
2,101666667	1064				
2,103333333	1060				
2,105	1038				
2,106666667	1010				
2,108333333	977				
2,11	976				
2,111666667	967				
2,113333333	970				
2,115	980				
2,116666667	959				
2,118333333	950				
2,12	942				
2,121666667	929				
2,123333333	947				
2,125	979				
2,126666667	1018				
2,128333333	1065				
2,13	1136				
2,131666667	1237				
2,133333333	1334				
2,135	1356				
2,136666667	1340				
2,138333333	1347				
2,14	1397				
2,141666667	1533				
2,143333333	1746				
2,145	2012				
2,146666667	2301				
2,148333333	2586				
2,15	2877				
2,151666667	3190				
2,153333333	3397				
2,155	3348				
2,156666667	3149				
2,158333333	2817				
2,16	2508				
2,161666667	2220				
2,163333333	1980				
2,165	1768				
2,166666667	1586				
2,168333333	1426				
2,17	1323				
2,171666667	1208				
2,173333333	1108				
2,175	1037				
2,176666667	1009				
2,178333333	971				
2,18	969				
2,181666667	936				
2,183333333	902				
2,185	891				
2,186666667	888				
2,188333333	898				
2,19	897				
2,191666667	900				
2,193333333	899				
2,195	902				
2,196666667	909				
2,198333333	933				
2,2	986				
2,201666667	1049				
2,203333333	1177				
2,205	1415				
2,206666667	1737				
2,208333333	2161				
2,21	2594				
2,211666667	2945				
2,213333333	3105				
2,215	3016				
2,216666667	2783				
2,218333333	2429				
2,22	2021				
2,221666667	1651				
2,223333333	1389				
2,225	1208				
2,226666667	1112				
2,228333333	1044				
2,23	1025				
2,231666667	1032				
2,233333333	1029				
2,235	1031				
2,236666667	1064				
2,238333333	1094				
2,24	1147				
2,241666667	1192				
2,243333333	1276				
2,245	1445				
2,246666667	1868				
2,248333333	2783				
2,25	4576				
2,251666667	7321				
2,253333333	10863				
2,255	14444				
2,256666667	17152				
2,258333333	18242				
2,26	17460				
2,261666667	15363				
2,263333333	12628				
2,265	9668				
2,266666667	7109				
2,268333333	5012				
2,27	3502				
2,271666667	2519				
2,273333333	1868				
2,275	1502				
2,276666667	1315				
2,278333333	1245				
2,28	1256				
2,281666667	1267				
2,283333333	1238				
2,285	1254				
2,286666667	1255				
2,288333333	1215				
2,29	1164				
2,291666667	1110				
2,293333333	1062				
2,295	1013				
2,296666667	962				
2,298333333	904				
2,3	860				
2,301666667	839				
2,303333333	852				
2,305	867				
2,306666667	832				
2,308333333	814				
2,31	783				
2,311666667	769				
2,313333333	766				
2,315	757				
2,316666667	758				
2,318333333	758				
2,32	752				
2,321666667	741				
2,323333333	714				
2,325	716				
2,326666667	716				
2,328333333	689				
2,33	683				
2,331666667	701				
2,333333333	689				
2,335	690				
2,336666667	684				
2,338333333	675				
2,34	692				
2,341666667	714				
2,343333333	695				
2,345	686				
2,346666667	678				
2,348333333	669				
2,35	651				
2,351666667	644				
2,353333333	643				
2,355	640				
2,356666667	632				
2,358333333	622				
2,36	615				
2,361666667	616				
2,363333333	616				
2,365	618				
2,366666667	630				
2,368333333	618				
2,37	624				
2,371666667	632				
2,373333333	628				
2,375	646				
2,376666667	661				
2,378333333	679				
2,38	716				
2,381666667	724				
2,383333333	721				
2,385	734				
2,386666667	714				
2,388333333	714				
2,39	709				
2,391666667	713				
2,393333333	731				
2,395	735				
2,396666667	747				
2,398333333	762				
2,4	764				
2,401666667	759				
2,403333333	772				
2,405	749				
2,406666667	729				
2,408333333	709				
2,41	692				
2,411666667	689				
2,413333333	685				
2,415	679				
2,416666667	682				
2,418333333	698				
2,42	710				
2,421666667	717				
2,423333333	719				
2,425	734				
2,426666667	812				
2,428333333	962				
2,43	1225				
2,431666667	1582				
2,433333333	2055				
2,435	2550				
2,436666667	2954				
2,438333333	3164				
2,44	3197				
2,441666667	3039				
2,443333333	2749				
2,445	2334				
2,446666667	1906				
2,448333333	1524				
2,45	1213				
2,451666667	996				
2,453333333	875				
2,455	794				
2,456666667	774				
2,458333333	764				
2,46	743				
2,461666667	735				
