,t,Q,TG,DG,MG,G,ME
256,15.0,6.0,0.4294274,0.15863077,0.031576104,0.0023626518,0.2139005
257,16.0,6.0,0.41855928,0.1633016,0.03494454,0.0025072023,0.22776541
258,17.0,6.0,0.40793383,0.1676393,0.03838087,0.002644889,0.24147633
259,18.0,6.0,0.39756402,0.1716565,0.041871756,0.0027780458,0.2550186
260,19.0,6.0,0.38746148,0.17536452,0.04540445,0.002909258,0.26837945
261,20.0,6.0,0.3776368,0.17877473,0.04896739,0.003040962,0.28154734
262,21.0,6.0,0.36809814,0.18189766,0.0525498,0.00317543,0.29451257
263,22.0,6.0,0.3588502,0.18474375,0.056141727,0.003314497,0.30726686
264,23.0,6.0,0.34989518,0.18732321,0.059734188,0.003459651,0.3198034
265,24.0,6.0,0.34123114,0.1896461,0.06331867,0.0036118794,0.33211678
266,25.0,6.0,0.33285362,0.1917223,0.06688749,0.0037718117,0.34420297
267,26.0,6.0,0.3247547,0.19356188,0.070433654,0.003939513,0.35605896
268,27.0,6.0,0.31692463,0.19517455,0.07395057,0.0041150115,0.3676828
269,28.0,6.0,0.30935156,0.19657025,0.07743198,0.004297944,0.37907356
270,29.0,6.0,0.30202234,0.19775844,0.080872126,0.004487861,0.39023077
271,30.0,6.0,0.29492348,0.19874874,0.08426524,0.0046843477,0.401155
272,31.0,6.0,0.28804153,0.19955066,0.087605916,0.004887026,0.41184705
273,32.0,6.0,0.28136367,0.2001733,0.09088847,0.005095916,0.42230824
274,33.0,6.0,0.2748783,0.20062578,0.09410739,0.005311113,0.4325403
275,34.0,6.0,0.26857558,0.20091705,0.09725703,0.0055331774,0.44254494
276,35.0,6.0,0.2624473,0.20105588,0.10033161,0.00576311,0.45232445
277,36.0,6.0,0.25648716,0.20105049,0.103324905,0.0060022734,0.4618811
278,37.0,6.0,0.25069124,0.20090935,0.10623122,0.006252356,0.47121716
279,38.0,6.0,0.2450568,0.2006403,0.109044276,0.0065153465,0.48033527
280,39.0,6.0,0.23958282,0.20025116,0.11175799,0.006793676,0.4892378
281,40.0,6.0,0.23426926,0.19974913,0.11436631,0.007089639,0.4979275
282,41.0,6.0,0.22911687,0.19914144,0.11686335,0.0074057803,0.5064071
283,42.0,6.0,0.22412641,0.19843474,0.11924375,0.007744452,0.51467925
284,43.0,6.0,0.21929833,0.19763538,0.12150209,0.008107953,0.522747
285,44.0,6.0,0.21463247,0.19674943,0.123633936,0.008498119,0.53061295
286,45.0,6.0,0.21012755,0.19578245,0.12563491,0.008916637,0.5382804
287,46.0,6.0,0.20578091,0.1947398,0.12750153,0.00936462,0.54575235
288,47.0,6.0,0.20158882,0.1936264,0.12923095,0.0098428,0.5530322
289,48.0,6.0,0.1975459,0.19244683,0.13082087,0.010351406,0.56012315
290,49.0,6.0,0.19364534,0.19120538,0.1322697,0.010890191,0.56702864
291,50.0,6.0,0.18987936,0.18990612,0.13357663,0.0114584565,0.5737524
292,51.0,6.0,0.18623891,0.18855274,0.13474138,0.012055144,0.58029795
293,52.0,6.0,0.18271449,0.18714897,0.13576436,0.01267869,0.58666915
294,53.0,6.0,0.17929603,0.18569812,0.13664657,0.013327379,0.59287
295,54.0,6.0,0.17597325,0.18420349,0.13738938,0.013999097,0.59890455
296,55.0,6.0,0.17273612,0.18266813,0.13799499,0.014691619,0.60477686
297,56.0,6.0,0.16957527,0.18109527,0.13846585,0.015402498,0.61049116
298,57.0,6.0,0.16648157,0.17948776,0.13880491,0.016129278,0.6160519
299,58.0,6.0,0.1634476,0.17784876,0.13901566,0.016869292,0.6214633
300,59.0,6.0,0.16046616,0.17618102,0.1391017,0.017620001,0.6267302
301,60.0,6.0,0.15753211,0.1744875,0.13906714,0.018378817,0.631857
302,61.0,6.0,0.15464115,0.17277126,0.13891652,0.019143194,0.63684845
303,62.0,6.0,0.1517907,0.17103508,0.13865441,0.019910675,0.6417091
304,63.0,6.0,0.14897937,0.16928184,0.13828573,0.020678889,0.64644396
305,64.0,6.0,0.14620727,0.16751431,0.13781568,0.02144561,0.6510577
306,65.0,6.0,0.14347538,0.16573519,0.13724938,0.022208616,0.6555551
307,66.0,6.0,0.14078622,0.16394702,0.13659233,0.0229659,0.6599411
308,67.0,6.0,0.13814306,0.16215236,0.13584988,0.023715582,0.6642201
309,68.0,6.0,0.13554965,0.16035321,0.13502736,0.02445592,0.66839695
310,69.0,6.0,0.13301048,0.15855163,0.13413016,0.025185298,0.67247605
311,70.0,6.0,0.13052984,0.15674928,0.13316351,0.025902227,0.6764618
312,71.0,6.0,0.12811257,0.15494749,0.13213232,0.026605412,0.68035835
313,72.0,6.0,0.12576278,0.15314728,0.13104157,0.027293622,0.68416965
314,73.0,6.0,0.123484075,0.1513492,0.12989558,0.027965933,0.6878995
315,74.0,6.0,0.12127973,0.1495536,0.12869872,0.028621323,0.6915514
316,75.0,6.0,0.119151786,0.14776045,0.12745494,0.029259052,0.69512844
317,76.0,6.0,0.1171011,0.14596899,0.12616748,0.029878542,0.6986339
318,77.0,6.0,0.11512816,0.14417881,0.12483987,0.030479275,0.70207
319,78.0,6.0,0.113231584,0.1423887,0.12347492,0.031060789,0.70543957
320,79.0,6.0,0.111409515,0.14059778,0.122075446,0.03162279,0.7087444
321,80.0,6.0,0.10965866,0.13880464,0.120643824,0.032165024,0.7119864
322,81.0,6.0,0.107975125,0.1370081,0.11918237,0.03268732,0.7151675
323,82.0,6.0,0.1063541,0.13520727,0.11769345,0.033189595,0.7182888
324,83.0,6.0,0.104790255,0.13340092,0.11617905,0.03367161,0.7213516
325,84.0,6.0,0.10327786,0.13158864,0.114641584,0.03413334,0.72435695
326,85.0,6.0,0.101811096,0.12977004,0.11308325,0.03457465,0.7273057
327,86.0,6.0,0.10038401,0.12794521,0.11150662,0.034995347,0.7301986
328,87.0,6.0,0.098991156,0.12611473,0.10991431,0.035395302,0.73303646
329,88.0,6.0,0.09762722,0.124279454,0.10830913,0.035774235,0.7358196
330,89.0,6.0,0.09628734,0.122440815,0.106694065,0.03613188,0.7385489
331,90.0,6.0,0.094967514,0.12060061,0.10507239,0.036467947,0.7412243
332,91.0,6.0,0.09366412,0.118761,0.103447385,0.036782086,0.7438464
333,92.0,6.0,0.09237459,0.116924524,0.10182259,0.037073914,0.74641556
334,93.0,6.0,0.09109678,0.115094066,0.10020176,0.0373429,0.7489319
335,94.0,6.0,0.08982952,0.11327258,0.09858849,0.037588716,0.75139594
336,95.0,6.0,0.088571995,0.111463085,0.096986376,0.03781094,0.7538078
337,96.0,6.0,0.0873243,0.10966909,0.095399275,0.038009003,0.7561676
338,97.0,6.0,0.086086944,0.107893825,0.093830794,0.038182586,0.7584756
